"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,171.911582717789,244.660827613389,42.6054530654611,73.3685576732358,2402.713,1.26672905530859,0.298656552012459,0.229973468774055,1.33318107894314,60.7273846998584,0.268536495142774,45.55074,0.347371853096846,0.770026531225945,1.05245954006981,203.335183141487,0.899148179851657,193.2,0.652628146903154,264.062567841346,1.43929564625833,0.155481146922629,0.538238628424943,1.48057258225758,41.1919869888924,0.182150966464882,27.82166,0.271034571718164,3.46176137157506,1.02867856656592,264.932358708355,1.17153089020835,257.5463,0.728965428281836,306.124345697248,0.959295235776013,0.25,0.25,0.25,0.25,1,4,235.306154203423,68.1968511127044,0.995741485314629,0.985306437219844,381.524,0.997949499956105,0,9.9,0,0,0,0,0,0,0,0,0,0,0,175,295,0,0
2017,173.401072184445,248.699700303711,43.4635840048777,76.5249377695533,2388.16107329705,1.27332050812455,0.290838297689619,0.22530962879717,1.33853598523146,60.371450031346,0.266962552038612,45.1025976869097,0.342776706616535,0.77469037120283,1.05121685914175,207.57737378787,0.917907146889963,197.463893375287,0.657223293383465,267.948823819216,1.46084416876414,0.144109045086282,0.503829755407323,1.49983391276846,40.1014749881189,0.177328722397462,26.7372771389718,0.25861321099709,3.49617024459268,1.02668987208766,278.271741819599,1.23051764232627,271.037778188815,0.74138678900291,318.373216807718,1.08247810193826,0.25,0.25,0.25,0.25,1,4,238.769196905304,70.9255933743394,0.956907104399973,0.947357768921747,396.075926702949,0.997350264416636,0,9.9,0,0,0,0,0,0,0,0,-2.96668334193139,0,0,175,295,0,0
2022,174.883124563447,252.834601700551,44.285608769954,79.7512668465461,2372.65661739644,1.28014559277774,0.282999375868406,0.22057639402736,1.34410781160109,59.9790566417669,0.265227388469893,44.623694709668,0.338054985630785,0.77942360597264,1.04996480024164,211.940596892542,0.937201319458821,201.854954417297,0.661945014369215,271.919653534309,1.48309247339629,0.133395190705529,0.470780860195787,1.51987567203047,38.9436573887728,0.172208852973153,25.6229230491901,0.246241618385395,3.52921913980421,1.02480168923651,291.94198968343,1.29096747838013,284.876569535058,0.753758381614605,330.885647072203,1.20884071805005,0.25,0.25,0.25,0.25,1,4,242.307603264422,73.7130500265099,0.919586491436771,0.910840949933857,411.580382603555,0.996644077507483,1,9.9,0,0,0,0,0,0,0,0,-3.15886103598954,0,0,175,295,0,0
2027,176.356747711492,257.068991818522,45.0715412990894,83.0483130348852,2356.17191088398,1.28721354420772,0.275146256272106,0.21577623344674,1.34990636396488,59.5495852319937,0.263328265895876,44.1138636142788,0.333206037370675,0.78422376655326,1.04870428845258,216.428840569439,0.95704833299806,206.377377257407,0.666793962629325,275.978425801433,1.50604181976702,0.123326155138682,0.439146385311242,1.54070188951096,37.7301698017274,0.166842810863239,24.4889488736225,0.233972322138471,3.56085361468876,1.02301401547355,305.938101770053,1.35285828602717,299.055630854123,0.766027677861529,343.66827157178,1.33807460005464,0.25,0.25,0.25,0.25,1,4,245.924375231657,76.5606991994033,0.883720663034084,0.87570529582527,428.065089116025,0.995821270633754,1,9.9,0,0,0,0,0,0,0,0,-3.35659077054875,0,0,175,295,0,0
2032,177.820947532606,261.406400801567,45.8215408503552,86.4166735772007,2338.67985625543,1.29453354670284,0.26728613538686,0.210912222522869,1.35594153815196,59.082551630914,0.261263043311901,43.5730818538377,0.328229719803276,0.789087777477131,1.04743638479321,221.046076877127,0.977465751950655,211.03532404096,0.671770280196724,280.128628508041,1.52969083065961,0.113885959524892,0.40896811222387,1.5623133873727,36.4724834897603,0.16128132199172,23.3451775965992,0.221855877398302,3.59103188777613,1.02132624191715,320.254433838163,1.41616510643236,313.567223375176,0.778144122601699,356.726917327923,1.46987311130838,0.25,0.25,0.25,0.25,1,4,249.622620863515,79.469839007728,0.849252932990436,0.841901449919529,445.557143744571,0.994871931711561,1,9.9,0,0,0,0,0,0,0,0,-3.55967857318726,0,0,175,295,0,0
2037,179.274714254688,265.850487289415,46.5359051666067,89.856805764997,2320.1535324161,1.3021150020407,0.259426588162428,0.205987860349165,1.36222353835664,58.5775741399309,0.259030032846775,43.0014402853424,0.323126309947498,0.794012139650835,1.04616223315279,225.796340131704,0.998471416062394,215.833006560778,0.676873690052502,284.373914271635,1.55403602781285,0.105056070531572,0.380274171901652,1.5847082492382,35.1816994285391,0.155573474873,22.2007422788716,0.209939873448533,3.61972582809835,1.0197371366406,334.884973809925,1.48086135418749,328.403234301306,0.790060126551467,370.066673238464,1.60393791622881,0.25,0.25,0.25,0.25,1,4,253.405595007453,82.4416031306989,0.816128823201444,0.809381431722186,464.083467583904,0.993785854497252,1,9.9,0,0,0,0,0,0,0,0,-3.76814454729713,0,0,175,295,0,0
2042,180.717021993283,270.405051430438,47.2150635016706,93.3690482549619,2300.56612128765,1.30996757283876,0.251575496006781,0.201007048164051,1.36876291384552,58.0343756859568,0.256628009283301,42.3991438538542,0.317896515124173,0.798992951835949,1.04488305071502,230.683737514692,1.02008348728997,220.7746956531,0.682103484875827,288.718113200648,1.57907216110289,0.0968156293118298,0.353078955931999,1.60788213278013,33.868387119098,0.149766007840651,21.0639738004536,0.198268160125337,3.646921044068,1.01824487340535,349.823549770178,1.54691973708373,343.555424541693,0.801731839874663,383.691936889276,1.73998160869934,0.25,0.25,0.25,0.25,1,4,257.276710673098,85.4769712405084,0.784295977538018,0.778098664173945,483.670878712354,0.992552485459028,1,9.9,0,0,0,0,0,0,0,0,-3.98196789672833,0,0,175,295,0,0
2047,182.146831451471,275.074038059787,47.8595682607568,96.9536421973079,2279.89090610342,1.31810117742899,0.243741025927122,0.195974098181276,1.37557055541655,57.4527931954238,0.254056251510164,41.7665186050933,0.312541504930455,0.804025901818724,1.04360012643313,235.712445112141,1.04232043228589,225.864714982138,0.687458495069545,293.165238307565,1.6047924995144,0.0891417740252281,0.327383546021855,1.63182857042444,32.5424540615217,0.143902731860049,19.9423239985665,0.186880250953927,3.67261645397815,1.01684708204844,365.064016476852,1.61431308086064,359.015650358588,0.813119749046073,397.606470538374,1.87772930633885,0.25,0.25,0.25,0.25,1,4,261.239543855871,88.5767814741862,0.753704078985776,0.748007985535512,504.346093896583,0.991160857479019,1,9.9,0,0,0,0,0,0,0,0,-4.20112877996928,0,0,175,295,0,0
2052,183.563092906067,279.861539708709,48.4700849706536,100.61075456071,2258.10125931554,1.32652598345758,0.235931605533922,0.190893739166092,1.38265768996073,56.8327867844629,0.251314583160895,41.104018150781,0.307062941820138,0.809106260833908,1.04231481870928,240.886703821848,1.06520100430021,231.107434623393,0.692937058179862,297.719490606311,1.6311891303397,0.0820100050520752,0.303176512857211,1.65653929623283,31.2130432749022,0.138024077361617,18.8423198567546,0.175810897020251,3.69682348714279,1.01554091148697,380.600431070359,1.68301510619313,374.776069349168,0.824189102979749,411.813474345261,2.01691990429953,0.25,0.25,0.25,0.25,1,4,265.297838079283,91.7417467472656,0.724304770011303,0.719065649463782,526.135740684458,0.989599505109643,1,9.9,0,0,0,0,0,0,0,0,-4.42561038020158,0,0,175,295,0,0
2057,184.964749480021,284.771799267245,49.0473809347628,104.340502844557,2235.17062090356,1.33525239965866,0.228155894289574,0.185771118593663,1.39003587257454,56.1744486831178,0.248403412076747,40.4122294909373,0.301463009925134,0.814228881406338,1.04102855230209,246.210815013271,1.08874422398868,236.507264348139,0.698536990074866,302.385263696389,1.65825325914545,0.0753945712203951,0.280435007719389,1.68200458822231,29.888459791323,0.13216676919723,17.7695471228837,0.165089832588081,3.71956499228061,1.01432310109802,396.427213624605,1.753001138648,390.829325680808,0.834910167411919,426.315673415927,2.15730700417749,0.25,0.25,0.25,0.25,1,4,269.455508479852,94.9724741452332,0.696051576030596,0.691229315812762,549.066379096435,0.987856359287876,1,9.9,0,0,0,0,0,0,0,0,-4.65540076593667,0,0,175,295,0,0
2062,186.350740691656,289.809212377901,49.5923130662807,108.142980392559,2211.07246829072,1.34429106612016,0.220422750584352,0.180611800688582,1.39771697639904,55.4780116855463,0.245323767673486,39.6918779855385,0.295744441287961,0.819388199311418,1.03974281435424,251.689136164353,1.11296936011877,242.068646870786,0.704255558712039,307.1671478499,1.68597550090258,0.0692688586742841,0.259126067732548,1.70821361316371,28.5761257283141,0.126363627970605,16.7286605774025,0.154741683854657,3.74087393226745,1.01319005658696,412.539289302927,1.82424873729754,407.168710964862,0.845258316145343,441.115415031241,2.29865953894114,0.25,0.25,0.25,0.25,1,4,273.716645449046,98.2694865835847,0.66889983186054,0.664458034208674,573.16453170928,0.985918618845574,1,9.9,0,0,0,0,0,0,0,0,-4.89049448896758,0,0,175,295,0,0
2067,187.720006275229,294.978329529876,50.1058152816634,112.018281635231,2185.78027900009,1.35365284296887,0.212741194722893,0.175421759934117,1.40571318004494,54.7438569620413,0.242077335486147,38.9438313157818,0.289910538842492,0.824578240065883,1.03845914951273,257.326076566168,1.1378959105756,247.796051184981,0.710089461157508,312.069933528209,1.71434615647198,0.0636057662819912,0.239208053579234,1.73515476448157,27.2825619361042,0.120643488881453,15.7234170084278,0.144786023969525,3.76079194642077,1.01213792671395,428.932210566398,1.89673823512461,423.788299247899,0.855213976030475,456.214772502502,2.44076212120725,0.25,0.25,0.25,0.25,1,4,278.085517766987,101.633245944245,0.642806611035894,0.6387122220569,598.456720999913,0.983772595330215,1,9.9,0,0,0,0,0,0,0,0,-5.13089395966791,0,0,175,295,0,0
2072,189.07149023495,300.283857818132,50.5888859022775,115.966526475487,2159.26748750683,1.36334879753022,0.205120367883271,0.170207369612011,1.41403695258133,53.9725210377666,0.238666488029004,38.1691022566557,0.283965195439112,0.829792630387989,1.0371791541115,263.126093204363,1.16354358414969,253.693966140082,0.716034804560888,317.098614242129,1.74335546556639,0.0583780558645874,0.220632147619117,1.76281598122481,26.0133935126626,0.115031226112994,14.7567266179357,0.135237552842894,3.77936785238088,1.0111626779752,445.602258030017,1.97045318500874,440.683054997949,0.864762447157106,471.615651542679,2.58341514404011,0.25,0.25,0.25,0.25,1,4,282.566575151161,105.06417677242,0.617730657876877,0.613953638307546,624.969512493172,0.981403526566888,1,9.9,0,0,0,0,0,0,0,0,-5.37661054166651,0,0,175,295,0,0
2077,190.404145129392,305.730662367551,51.0425753105953,119.98788345855,2131.50743742104,1.37339018994836,0.197569487278439,0.164975385042107,1.42270103601877,53.1647017611715,0.2350943111879,37.3688501063761,0.277912908221962,0.835024614957893,1.0359044694154,269.093686953012,1.18993228370622,259.766894436581,0.722087091778038,322.258388714183,1.77299383558696,0.053558667468502,0.203343844523412,1.79118504432199,24.773375316387,0.109547865649063,13.830718046088,0.126106376093432,3.79665615547659,1.01026016468298,462.546521176173,2.04538071664103,457.848915899125,0.873893623906568,487.319896492559,2.72643466725927,0.25,0.25,0.25,0.25,1,4,287.164450183209,108.56268994113,0.593632322195083,0.590145354062459,652.729562578963,0.978795352878396,1,9.9,0,0,0,0,0,0,0,0,-5.62766539439722,0,0,175,295,0,0
2082,191.716936547429,311.323767401147,51.4679741583883,124.08259124316,2102.47333025799,1.38378845734192,0.190097797782924,0.159732921224679,1.43171842530973,52.321263066207,0.231364625278767,36.5443806137287,0.271758787688811,0.840267078775321,1.03463677393283,275.233399210408,1.21708209130842,266.019347219024,0.728241212311189,327.554662276615,1.803252042134,0.0491209944260407,0.187284382590834,1.82024984348903,23.5664336681603,0.104210769680605,12.9468126325936,0.117398357824488,3.81271561740917,1.0094261927661,479.762959677929,2.1215118076958,475.282851897518,0.882601642175512,503.329393346089,2.86965212162152,0.25,0.25,0.25,0.25,1,4,291.883959554692,112.129205602675,0.570473496527163,0.56725172087432,681.763669742014,0.975930447888918,1,9.9,0,0,0,0,0,0,0,0,-5.88409007835529,0,0,175,295,0,0
